menuitemid,menuitemname,average_rating,rating_count,rating_stddev
itm-3d65bcd4-0dc2-419a-83f8-907ac94d6378,HWHAP 10 pc Nugget Meal,4.94,420,0.59
itm-4346bde8-a4e9-4783-b1b0-a1c4c2a776b1,HWHAP Tenders and Slaw,4.84,201,0.51
itm-cf7bc04f-59f5-4cca-917c-50c204033a12,Shake N' Fries,4.64,431,0.37
itm-befeb139-140b-489f-b50f-d7db5c72d261,Buffalo Sauce (2oz),4.41,172,0.34
itm-5b73412a-9ad8-40d4-872b-7ce264bf2fee,Honey (1 oz),4.33,257,0.6
itm-6affa5c3-3a09-4c31-9e4b-e789e7b8e88b,Mac & Cheese,4.86,247,0.52
itm-7c1645b5-94d6-43a9-a10a-a0a8323ef2c1,Chilled Blueberry Lavender Lemonade,4.57,255,0.65
itm-c68a4522-08f6-4172-9889-a928750e268f,3 Tenders & Fries,4.95,356,0.57
itm-343077c5-76b9-4376-ad8b-67418c0d5960,Tender (a la carte),4.55,406,0.32
itm-18066b37-9625-4254-8d5e-24d06c1aa06a,Cheesy Sandwich (a la carte),4.55,265,0.6
itm-4d678245-7eaf-49d2-ad19-040782370b91,Red Bull,4.22,217,0.78
itm-accb9229-6be4-4184-910d-4be9cdc1364a,HWHAP Southwest Salad,4.87,394,0.59
itm-aaf9e26f-e6d1-41ed-8d1a-fa0ae4af285a,HWHAP Tender (a la carte),4.22,491,0.64
itm-8781cf74-b1bc-42dc-826b-7927a837f3b1,Cheese Sauce (2 oz),4.42,120,0.68
itm-51712eca-1d41-423a-968f-c5b52a3fa393,Shareable Southwest Salad,4.34,365,0.63
itm-88587591-80c2-402f-9c26-89b640a61720,Buns (a la carte),4.93,192,0.8
itm-eaa9680c-aa22-463f-a1de-498e855d9237,Chilled Strawberry Hibiscus Lemonade,4.55,351,0.78
itm-a480e269-e3f1-482d-be9f-3d7715f50482,15 pc Nuggets (a la carte),4.58,309,0.47
itm-9b612623-abfd-450f-b324-c652e0632584,HWHAP Loaded Fries,4.74,182,0.46
itm-cb5aed78-3dd2-4f9e-95a5-21b54a54dee8,Frozen Strawberry Hibiscus Lemonade,4.75,247,0.63
itm-d6b22bf7-ff42-4539-8bf3-5ec57018528e,Chips Platter,4.52,489,0.58
itm-6c06d51d-cb20-4c6b-bed4-ab226ed6a87c,Pellegrino Sparkling,4.56,261,0.43
itm-cfa88db4-dcca-4888-b29d-b351c8c99d59,Loaded Fries,4.29,495,0.5
itm-18089f38-c3a0-43fb-85a5-06dfd9f63051,HWHAP Sandwich & Tender Meal,4.61,100,0.63
itm-63b53e22-be7d-438a-b50d-215fa08ab17b,5 pc Nuggets (a la carte),4.63,311,0.33
itm-30b53460-95ec-435f-9126-2d1af70ee633,Milkshake Chocolate,4.61,418,0.68
itm-ba696f5b-1ff0-4cfe-ad19-db15be692a81,HWHAP Classic Sandwich (a la carte),4.7,489,0.33
itm-1f0dbcfd-1c00-430f-a544-b2acba99acb9,20 Tender Platter,4.41,167,0.76
itm-ffcfee1c-a036-409d-b44f-5949e190b9fb,HWHAP 2 Tender Meal,4.55,457,0.54
itm-e176dd52-dd05-4c36-86a6-de9c84e4f6fd,Shareable Mac & Cheese,4.22,422,0.6
itm-de3042cf-28fd-43e4-9fc6-32ed8e400a96,Cookie Crumble,4.39,181,0.46
itm-bd56a080-89cb-48f6-a06f-aeedc05143a6,HWHAP 3 Tenders and Fries Meal,4.21,308,0.35
itm-d63ce9d8-6f7c-433b-a331-a5b3099c8cd5,Original Sandwich Platter (10),4.99,158,0.53
itm-07335da5-836d-40fa-9f04-c5d807e1d9f7,10 pc Nuggets (a la carte),4.29,178,0.55
itm-96bae1d0-3563-4cbd-a1c1-14049a9b3907,Sandwich & Tender,4.77,360,0.65
itm-12f98943-0e1f-4e84-85c8-1d5419c772f3,HWHAP 5 pc Nuggets (a la carte),4.53,347,0.79
itm-b323f381-61ab-4e4f-a9f8-42c48cb62e09,Kids Honest Juice,4.39,382,0.37
itm-f6c2f331-8bc2-40cc-8206-5c7c1227f0a4,Caesar Dressing (2 oz),4.35,406,0.55
itm-582b5c29-3265-4ea2-99a8-f92bb125b935,Regular Fountain Drink,4.9,135,0.44
itm-fd32f204-c6fe-4bbe-b099-62037fcdc8ec,Large Cheese Sauce (8oz),4.83,312,0.47
itm-ebde5bc8-17e3-4f4a-9a80-b2b4c17d855f,50 Nugget Platter,4.83,236,0.71
itm-964e40d1-e017-4561-be2b-c60ce6b078e7,Red Velvet Wheely,4.43,252,0.72
itm-3b1a7dc0-ce48-4441-9d11-c9bcde4bed47,Coleslaw (side),4.66,437,0.54
itm-09b96d6d-03d8-48f2-b866-5e8e9f8d6d01,The Mondi,4.32,375,0.54
itm-f6770955-c2e4-48e1-adbe-927949a8bed0,HWHAP Fusion Fries,4.47,490,0.57
itm-ae8319a7-ad2e-4aff-a306-e22eaa90ce1c,Chicken Tortilla Soup,4.56,264,0.73
itm-c172b687-b814-472a-bd48-6d86f411df2b,Waffle Platter (10),4.98,222,0.59
itm-1a17e549-64ed-451c-8e04-b5315488532e,Shake N' Waffle,4.39,497,0.51
itm-eabc91c7-e678-4fb1-a847-d89878041c3b,HWHAP Cheesy Hot Chicken Sandwich Meal,4.45,342,0.65
itm-ec597db5-8530-410e-b1c5-08579cce95d4,Pickles (side),4.85,297,0.79
itm-06da5f28-6c55-4ae4-865a-b4241139acb8,Classic Chicken Sandwich,4.83,433,0.79
itm-5d031969-751d-4d28-becc-5dfdfbc50f73,Cheese Fries,4.6,118,0.36
itm-b5b0a1fb-aef1-4567-8449-f475bbb542ae,Coleslaw Platter,4.97,269,0.73
itm-a7eee179-0b4e-4e5e-84dc-bb830d123d3b,Small Fry Platter,4.9,325,0.35
itm-a1adbf66-e2c8-499d-81eb-7f1e7c2a4904,2 Tenders Meal,4.93,107,0.66
itm-684f43e0-949e-4ef6-b2ea-f396992798e6,Frozen Regular Lemonade,4.53,435,0.78
itm-54f8a018-8775-4b02-8fbc-470d50c69ae9,HWHAP 10 pc Nuggets (a la carte),4.26,500,0.78
itm-1d8f2a5d-2fd2-4dec-acf8-508bd4f78f9f,BBQ Sauce (2 oz),4.47,454,0.5
itm-857914cd-a50e-4899-b5bc-1bd2bc33f1a3,Small Fountain Drink,4.26,268,0.73
itm-c1db7b07-6fc2-4936-8e94-c21137ac26d9,Classic Chicken Sandwich,4.89,294,0.78
itm-eb5f8020-49b2-4695-88dd-fc485ba29281,20 Tender Platter,4.7,488,0.54
itm-8a5b2594-ec5b-4644-8484-8eae316e2747,3 Tenders & Fries,4.63,416,0.33
itm-67dd0dab-9210-4290-8bde-3f3396c92488,Frozen Regular Lemonade,4.7,247,0.8
itm-5c486e71-8444-49b7-8fd7-522c67df82b3,Cheesy Hot Chicken Sandwich,4.8,322,0.79
itm-1b870835-1679-493e-a4b1-72b90bb9e110,Cheese Sauce (2 oz),4.81,460,0.74
itm-09f1b8d9-c884-43c6-be37-722eb1acbbf9,Tender (a la carte),4.55,455,0.45
itm-8ac0dd00-153c-464d-a179-bfea2a599751,Pellegrino Sparkling,4.22,266,0.7
itm-b62847b0-0357-4a5a-915c-2750df11ab30,10 pc Nuggets (a la carte),4.43,291,0.52
itm-fd3c2235-096f-4515-9eb6-e168c6e9ac29,Maple Syrup (2 oz),4.4,310,0.58
itm-8eb0c359-0b96-4af2-a35b-38f15363f991,Cookie Monster Wheely,4.83,187,0.39
itm-2f1403fb-72f4-4cbd-838d-5dc03d6d888c,Fries (side),4.69,295,0.61
itm-fa8d30b4-da90-4868-9bb5-71c73cd14232,Buns (a la carte),4.39,398,0.37
itm-64b4a6b7-00bc-4e7e-ab22-b2539f71d569,Chilled Cucumber Watermelon Lemonade,4.57,230,0.53
itm-7dee8444-c965-4dfe-936d-dcafd6baf110,HWHAP 15 pc Nuggets (a la carte),4.73,338,0.75
itm-d5d92eef-34dd-406e-aa66-d09c9d733264,Milkshake Vanilla,4.74,180,0.34
itm-e0dc2cfa-cde0-4724-9fea-139a17a0d6a9,50 Nugget Platter,4.96,400,0.45
itm-0d3484c4-8bf0-4a60-8e86-12b39608c28c,Cilantro Ranch (2 oz),4.97,453,0.43
itm-5e0ff2cc-a0b4-48d9-9c5d-27acf5002cbb,Small Fountain Drink,4.88,201,0.8
itm-aa3eca6a-059b-4265-b1c6-dd1f4f0acddb,Chicken Tortilla Soup,4.88,154,0.42
itm-05228320-125e-4cf2-bd41-2a42cd629e3b,HWHAP Classic Chicken Sandwich Meal,4.66,394,0.45
itm-b5dd3172-0cfd-4200-a96d-c67f2f7e53f2,Aquafina,4.76,111,0.79
itm-e03c586b-ba68-4bd8-b968-b440da47d8b9,HWHAP Cheesy Sandwich (a la carte),4.73,240,0.3
itm-c86107cf-6643-4a8a-9d27-076ba4cc7805,HWHAP Texas Caesar Salad,4.89,498,0.67
itm-b7d4da16-f9ea-4038-985e-718a5c08b0d1,Cheese Fries,4.24,410,0.67
itm-474ac3a6-a6e7-4636-8dd2-a962951ef650,Shareable Southwest Salad,4.87,246,0.69
itm-00412ae2-7e8a-4bbd-b797-7e8665544d06,Chilled Blueberry Lavender Lemonade,4.38,280,0.41
itm-f17cc306-5399-4285-a597-0f036eb3edd2,Chocolate Chip Wheely,4.35,228,0.64
itm-f24efb9f-b5b1-4c29-b5fa-a407797f97f0,The Mondi,4.78,437,0.64
itm-46ab1836-4d9d-422f-837c-2676a2616f23,Red Bull,4.31,149,0.75
itm-bbac9095-53cb-4b4e-8e01-356fab72b611,Honey (1 oz),4.72,258,0.69
itm-27714f9e-2c39-41ca-9662-4a447501668d,Large House Sauce (8oz),4.23,286,0.67
itm-9a2c1ce5-472a-4860-83b3-edb9eb15aae4,Double Double,4.27,251,0.46
itm-b95bcae7-e2e8-4c7c-95b3-0e8b0b65ffc6,HWHAP 10 pc Nugget Meal,4.53,202,0.37
itm-b96eb1d1-abec-40dc-96ca-0476b53f8ab3,15 pc Nuggets (a la carte),4.63,287,0.57
itm-4267a0b0-1073-4239-bb7f-ed49a8ec52bc,HWHAP 3 Tenders and Fries Meal,4.93,184,0.43
itm-d895961a-167e-4aad-bcb9-f94994a8b0ae,Shareable Caesar Salad,4.86,346,0.78
itm-d0c39d46-2fb2-4f92-b02a-98fb00e767d0,Classic Sandwich Platter,4.44,273,0.7
itm-7dc7ab62-9993-493b-8adf-af6b022bcb28,Shake N' Waffle,4.57,138,0.37
itm-cdde0d1a-41ae-4a02-826f-494ae56c8583,Fusion Fries,4.97,446,0.66
itm-55a64528-e91c-43c0-9578-819b1f3993fb,Classic Sandwich (a la carte),4.98,385,0.48
itm-cb9013fc-a6fd-46d6-9054-135c2ff9cfe6,HWHAP SPICE CHALLENGE,4.83,107,0.43
itm-5fdd840b-0f29-4f9f-9703-b5ec865c7876,Tenders & Waffle,4.3,288,0.64
itm-099aa698-bbcf-429e-b218-de85b2c8b07f,Waffle Platter (10),4.74,399,0.49
itm-e6a589af-150a-472c-8389-9acd1b67033d,HWHAP 2 Tender Meal,4.71,290,0.35
itm-8a07edf3-bc97-4be6-b0d3-c7d07fe119bf,Original Hot Chicken Sandwich,4.39,112,0.61
itm-c77875a4-a53d-453d-9415-3486bb64d6c4,HWHAP Original Hot Chicken Sandwich Meal,4.95,267,0.76
itm-09d98c3d-a721-40e5-aa8d-c9f0e6e82233,Southwest Salad,4.38,132,0.62
itm-d16e7ec5-77a2-46b8-9869-24771433cf0e,HWHAP 10 pc Nuggets (a la carte),4.57,458,0.45
itm-c9714a49-77d1-4012-8ae8-50b58ec4a8aa,Large Chips Platter,4.53,171,0.32
itm-7ffaa033-3d76-4ed8-8e34-15b262f2bebb,HWHAP Classic Sandwich (a la carte),4.23,352,0.36
itm-b2b9df39-d1bd-4df0-8001-d63cfd8fa69a,Texas Caesar Salad,4.39,375,0.37
itm-2d89fc90-7566-436c-80f1-147a68cafaff,Buffalo Sauce (2oz),4.56,443,0.77
itm-fba95a18-dc12-4423-a90d-9459ad0ac01b,HWHAP Loaded Fries,4.76,376,0.51
itm-55279e4f-ee48-4401-a668-125e821d526c,Large Ranch (8oz),4.79,179,0.74
itm-7d0f6aa9-a1d5-4ddb-ba1c-fd22ba4c01cd,Breast (a la carte),4.72,350,0.61
itm-529fcf3f-ed47-4a66-8851-a546037ebef7,HWHAP Sandwich & Tender Meal,4.95,243,0.32
itm-265a0c1e-1c67-45b1-ade4-1df8ea9adae9,Frozen Cucumber Watermelon Lemonade,4.5,327,0.52
itm-2380aab7-2ca4-4100-81c9-d1d2bc2c4426,HWHAP Southwest Salad,4.39,285,0.35
itm-4774ea46-46f7-480a-b759-c20653ccf52c,2 Tenders Meal,4.75,378,0.75
itm-7755c8a4-f154-4028-bc6d-c96ada39f497,BBQ Sauce (2 oz),4.72,131,0.5
itm-4f698cbf-da77-4dba-bf83-5b80435262aa,HWHAP 15 pc Nugget Meal,4.35,162,0.77
itm-7e809968-d640-47d8-a67e-7c2ad40b17d0,Shake N' Fries,4.86,146,0.63
itm-1fc29aba-f253-4cba-8cf5-71bdca159edc,Large Fry Platter,4.71,405,0.79
itm-742027cd-30e2-4266-845d-76b4f612f1f1,Frozen Blueberry Lavender Lemonade,4.24,270,0.42
itm-65d1f339-17f1-4e71-b4e3-466f2d45cc3f,HWHAP Cheesy Hot Chicken Sandwich Meal,4.3,389,0.4
itm-9b60e665-77b2-42b3-bd5a-60d8f231767d,Waffle Sandwich,4.86,383,0.4
itm-e0f880e0-27ca-4262-af71-d1398cfe008a,Waffle (a la carte),4.37,219,0.46
itm-707990fb-2ccd-409b-8721-be248e04aee5,Cookie Crumble,4.32,405,0.3
itm-6acfbec4-fe3f-496c-a07a-f98b684a3e29,10 pc Nugget Meal,4.89,174,0.79
itm-7e8905bb-0ce9-4143-b35e-308249b92d3d,Ranch (2 oz),4.63,189,0.35
itm-5fbdf17e-859f-4880-aadc-17a9e3ae72d9,Mac & Cheese,4.89,167,0.31
itm-090a6f3a-4526-470d-b5b5-af6210227740,Red Velvet Wheely,4.83,221,0.59
itm-2cda12b9-6873-4e59-a8c3-70193893aa55,Original Sandwich Platter (10),4.21,235,0.33
itm-f689500a-838f-40a8-8d2d-4f957ba773ef,Milkshake Chocolate,4.79,369,0.36
itm-b9baf312-9727-44f3-9e6d-1ee3f9f89984,Tenders and Waffle,4.25,329,0.69
itm-635f510f-2e40-4970-95eb-73aadc81f134,Milkshake Strawberry,4.61,155,0.53
itm-dc02be93-b85c-4857-9b9f-07aabaafd916,Original Sandwich (a la carte),4.38,414,0.32
itm-feb97e3f-412e-4396-b6c9-fb5673f2e8ef,Shareable Mac & Cheese,4.83,437,0.56
itm-38896681-f011-4190-bc21-293ca5be26ed,Original Party Package,4.57,115,0.33
itm-1422eb84-5571-46f8-835b-7e0956f90abd,Small Fry Platter,4.58,305,0.51
itm-975151fb-32d4-418b-9e57-be82fe2a5ced,15 pc Nugget Meal,4.29,464,0.75
itm-b8d2849c-4494-40ea-99d9-cca998ccd460,Kids Honest Juice,4.26,141,0.46
itm-abac2174-666d-4765-bc0e-578be9c3e9ec,Chilled Strawberry Hibiscus Lemonade,4.32,164,0.44
itm-f5834eab-86df-401a-8202-9658d275a886,Cheesy Sandwich (a la carte),4.71,380,0.66
itm-d0a43c8a-6ee2-4760-9bdf-944d9d40a7f5,Caesar Dressing (2 oz),4.5,405,0.57
itm-86e0b0e8-7216-40b0-813f-80689daa30dd,Loaded Fries,4.56,409,0.52
itm-9e8e960c-f3c8-43ac-bb9a-0af046ce9d1c,HWHAP Tender (a la carte),4.83,158,0.73
itm-962886b4-cafd-47d2-9560-7c7ccbb72025,Sandwich & Tender,4.72,493,0.58
itm-c31f829a-b2cf-43fb-94c7-e4f313dcaf2f,10 Tender Tray,4.89,320,0.53
itm-7399d120-57f8-4b6f-af49-1e1860c89721,Coleslaw (side),4.38,273,0.71
itm-efd09b59-329c-42dd-b7a2-7065f9bf4a03,HWHAP Chicken Tortilla Soup,4.52,473,0.35
itm-cf766216-9a78-43ff-b038-f8f6083a1f34,Regular Fountain Drink,4.54,440,0.43
itm-851a7adf-c5af-4826-ae4a-71a8ee3aad93,Chips Platter,4.96,451,0.76
itm-62206fac-14b6-4163-a83e-136aa4e02c6a,HWHAP Fusion Fries,4.25,143,0.35
itm-2f61d789-7377-4b45-9465-6d83d31f17e9,Lemonade Refill,4.28,478,0.49
itm-6bd75731-ee69-4ecb-a34d-06e3fd942a64,Kids Meal,4.3,130,0.59
itm-f93d25d0-0833-4cc0-a0e0-54602a5544fc,Tender and Waffle Platter (20 tenders/10 waffles),4.65,268,0.64
itm-cf45b34c-27f8-45ae-95cb-1d118f529844,House Sauce (2 oz),4.53,440,0.77
itm-b7f99392-4c63-40de-ba96-1b880b6949ae,Large Cheese Sauce (8oz),4.54,469,0.33
itm-da8c4e1b-54c3-4d64-abbe-57fa95e440c0,Coleslaw Platter,4.43,259,0.48
itm-cf243093-ce28-4592-993c-4d6858a445b3,HWHAP Tenders and Slaw,4.66,208,0.38
itm-d0e4e5b0-9335-4cfa-9294-ddaf4abd4fbc,Frozen Strawberry Hibiscus Lemonade,4.59,155,0.48
itm-023e955a-7126-4df8-8a4d-113f524c109a,Pickles (side),4.65,158,0.68
itm-51ae4688-d915-44af-b3eb-ad435bc0661e,HWHAP Original Sandwich (a la carte),4.66,319,0.72
itm-33f6eaf8-6706-4600-b13c-618cec4da85c,HWHAP 5 pc Nuggets (a la carte),4.98,418,0.61
itm-fb78741a-fbbb-485c-9df7-0835216027ad,5 pc Nuggets (a la carte),4.71,113,0.6
itm-be952b87-82ce-42ce-9c21-3b401d0d965a,Fate Fateful IPA (16 oz Draft),4.73,455,0.43
itm-51705165-3dba-40b2-8f8a-3007b278c726,HWHAP Fusion Fries,4.34,459,0.68
itm-4bfaa8db-8ce2-4d25-9f47-7292687d973f,Mac & Cheese,4.94,279,0.3
itm-0f6e5f9b-dd8a-41ab-98cc-76c67007b0f6,Shareable Southwest Salad,4.9,389,0.63
itm-4a74ff79-cd9a-4379-bbcc-e165e38f8b2d,Shake N' Fries,4.26,479,0.62
itm-d374559b-dbd0-4903-a0b5-186370cfa47e,50 Nugget Platter,4.22,482,0.57
itm-c52b1c75-6502-4442-b2b5-5d4bc5261686,HWHAP Tender (a la carte),4.5,332,0.47
itm-73294e1f-edd6-4b4f-93f4-8a5f7c1fcb7d,Woodchuck Cider 21oz,4.5,469,0.46
itm-353ad90c-25a9-4bfe-bdaa-bf8a06d34988,Chilled Blueberry Lavender Lemonade,4.95,405,0.34
itm-cf517e5a-e9de-4730-9762-66cbc2f6c8a9,Shake N' Waffle,4.24,180,0.68
itm-2e781662-4f7d-4695-a4f0-c4b714db6b61,Original Sandwich (a la carte),4.24,141,0.44
itm-46c660f3-56c4-4c0f-be65-73111db0b258,Cucumber Mojito (RTD),4.73,348,0.6
itm-525579f7-8aaf-44f1-aee5-a2ea9ac23a75,Happy Dad,4.53,210,0.68
itm-4dfb5e6c-0d06-46d1-9ed1-6afadb80c2bc,Cheesy Hot Chicken Sandwich,4.29,320,0.36
itm-eea64710-93da-4315-88b1-a7611dcc2f9a,Tenders & Waffle,4.74,403,0.54
itm-9c77ef76-3d2b-476e-8739-3be4c01fac01,Buffalo Sauce (2oz),4.73,123,0.41
itm-6cd536a3-c2d1-48fd-8341-471d27861a1a,HWHAP 2 Tender Meal,4.99,128,0.3
itm-f6a79eeb-1675-4a6b-8771-59ed28d44e13,Twisted Tea 16oz,4.44,208,0.68
itm-8f3ab216-1bad-43a0-9d60-a51922588050,Original Hot Chicken Sandwich,4.81,248,0.46
itm-7a96c3a4-a84a-4bdd-a379-285a0f6f10bf,Waffle (a la carte),4.21,482,0.52
itm-738e4280-633a-49a1-905f-544f10714605,HWHAP Southwest Salad,4.3,372,0.65
itm-9f47652c-03b5-47e8-8d20-9c071603e88c,Milkshake Strawberry,4.6,442,0.7
itm-fd08a007-c71f-4f63-b9fb-1f36eaf270be,Classic Sandwich (a la carte),4.26,479,0.32
itm-5b1d4975-8d51-4b9d-89ca-f1d4b4d43914,Ranch (2 oz),4.21,139,0.73
itm-4ab64d70-132c-4c7f-8a50-36403aca619f,Long Drink (RTD),4.66,393,0.5
itm-3cfc231d-be74-4966-a2be-4e19025d1312,Cilantro Ranch (2 oz),4.71,248,0.36
itm-43b06482-bfff-42d2-893f-e8b97ba8ea7c,Milkshake Vanilla,4.22,266,0.39
itm-40f7aa8f-f7a5-4198-bece-6f4f40836b05,Cheese Sauce (2 oz),4.96,335,0.72
itm-a84c7398-cac0-495a-b325-c0505b5a59c3,Modelo 21oz,4.94,145,0.52
itm-672586df-e4b7-4c86-ac43-eba337c2dd41,Classic Sandwich Platter,4.28,323,0.59
itm-96d9cb9f-965d-4a48-a7a4-7a48728b683b,Cheesy Sandwich (a la carte),4.62,302,0.74
itm-6ef47d89-379f-42cb-9fd9-eb13624fa88a,2 Tenders Meal,4.8,213,0.47
itm-025c64bd-1fe8-4c94-aa5f-849c0fcecbcc,Milkshake Chocolate,4.33,361,0.62
itm-d09bb1b8-2dfa-4001-9ec0-ca6daa910e8b,Caesar Dressing (2 oz),4.62,199,0.75
itm-33eb86f2-a60c-48c5-988b-4728ae75bb46,HWHAP Loaded Fries,4.48,472,0.78
itm-6a223087-c502-4ac8-a5f2-37d42d269f2b,Chilled Cucumber Watermelon Lemonade,4.72,175,0.42
itm-010ee972-2284-4c0a-a9d1-6718c90e37a6,Huss Hopalooza 16oz Cans,4.32,201,0.39
itm-f2188d4b-875f-497f-ae6d-ae794ec94d69,HWHAP Classic Chicken Sandwich Meal,4.32,488,0.63
itm-3134cea5-59cc-4af9-8f56-e8d177021491,Southwest Salad,4.34,495,0.61
itm-b6394c49-9c9e-4c9c-b6b2-edef4c65efeb,Shareable Caesar Salad,4.57,388,0.68
itm-ee029e85-43fc-4fe5-8c14-3b601a85c233,Red Velvet Wheely,4.56,389,0.62
itm-5911774c-fa33-48c8-b9cf-caac98ce6076,10 pc Nugget Meal,4.99,265,0.73
itm-2f095dc9-35a5-4351-afc8-9c7fc5056964,HWHAP Sandwich & Tender Meal,4.7,177,0.52
itm-c956ee8c-e419-45f7-a6c3-6dacc7785bad,Coleslaw (side),4.58,423,0.45
itm-45707a38-2333-4a8b-9f5c-8d833a2d7a93,Chocolate Chip Wheely,4.42,128,0.48
itm-66395af3-f9d3-48af-93d5-51018c84951a,Classic Chicken Sandwich,4.26,336,0.53
itm-a7b75507-c71b-4f0f-a3cc-93ca08508a83,Small Fountain Drink,4.25,246,0.34
itm-d1feb19f-6ddd-46bf-be64-700e8ba1b9fe,Fusion Fries,4.89,146,0.61
itm-ff48146e-a591-4fc7-8049-18244f2c946f,HWHAP 10 pc Nugget Meal,4.61,336,0.59
itm-c7a51f15-14d1-4229-ad8e-2f5f502f6ad6,Maple Syrup (2 oz),4.96,478,0.75
itm-7423faa3-9bd3-43a0-9910-499d65a75403,Double Double,4.56,392,0.63
itm-fe7e2e42-fae2-4a75-8bb3-f786d9528ab9,Fries (side),4.46,343,0.55
itm-1dcbf78c-e59f-466a-89a1-6ad975db6024,HWHAP 15 pc Nugget Meal,4.97,330,0.35
itm-31da48ed-b39a-46b1-80f7-63f0cf96f33a,Papago Orange Blossom 21oz,4.92,275,0.79
itm-2b7a49e8-941a-4cbc-9da3-c19d08d104bd,Kids Honest Juice,4.27,430,0.39
itm-e65393d7-b6e9-4cee-98fb-b16b5a6ee8a1,Frozen Cucumber Watermelon Lemonade,4.4,324,0.8
itm-dcc4de3a-5350-47a0-964f-a5dc7b74f753,Tender and Waffle Platter (20 tenders/10 waffles),4.62,412,0.38
itm-f994e3f5-a110-4252-b1c2-8c27bc7595fc,Small Fry Platter,4.5,244,0.49
itm-c7ad0503-82be-4293-ab6c-2e5f67cad885,Chicken Tortilla Soup,4.82,447,0.6
itm-38186933-1b33-49a5-ba73-29588ec7fcfc,Large Fry Platter,4.83,431,0.47
itm-dbf99e0a-7e92-4ba7-8205-6c73128c3ab0,Sandwich & Tender,4.46,385,0.64
itm-c06f5b3a-cfaf-469e-a3e0-44a4d33a53fe,Truly Wild Berry 21oz,4.43,470,0.73
itm-3d84832f-497f-4b35-98a9-3cc3dc66b7b1,Large Chips Platter,4.97,408,0.74
itm-16e6d161-9ac2-4522-adcb-d32827396c6e,Heineken 12oz,4.47,398,0.63
itm-1f39c072-e867-4780-a406-fc2c4c57fb94,Aquafina,4.93,258,0.78
itm-2ef37fa8-7cfd-4129-bcee-7167be6ab480,HWHAP Texas Caesar Salad,4.76,300,0.36
itm-3de59663-b8fb-42af-ac5f-21a7dac57b2a,Lagunitas IPA 21oz,4.77,143,0.45
itm-b482b1c3-1e98-4018-8567-895bbc88ff64,Kids Meal,4.5,268,0.71
itm-72ec50bd-1b62-4eaf-9521-d137893c76f1,Hop Water 12oz,4.74,478,0.8
itm-f2f8b88c-dd26-498e-95a2-bd3b73c49c3d,Red Bull,4.93,147,0.62
itm-3f92435a-f5a3-4548-81c0-404bfa194a0a,Large House Sauce (8oz),4.54,285,0.31
itm-a268499e-89a8-42c8-931c-2ea6c952702c,House Sauce (2 oz),4.45,209,0.47
itm-05bdb00d-43f6-41e0-8b33-154ef3972749,Dos XX Amber 12oz,4.81,198,0.41
itm-dafe1603-e54d-4682-9cd1-0c63f62d5d29,HWHAP Original Sandwich (a la carte),4.31,139,0.45
itm-41f8782a-6a9e-4880-a980-b7b8063d8a5a,HWHAP Chicken Tortilla Soup,4.83,359,0.69
itm-d544fb04-04d2-4b4b-aaba-86570922ded7,Coors Light 21oz,4.87,369,0.32
itm-f41a873e-886d-4028-8d1b-09d6240a4993,15 pc Nuggets (a la carte),4.47,492,0.61
itm-65184e36-ea5d-4925-b35b-cf771f1b2cef,10 pc Nuggets (a la carte),4.68,178,0.38
itm-4abe53f2-c0ca-4eb6-92bd-2c31d6e1b252,Honey (1 oz),4.87,494,0.61
itm-0665338c-f98a-4e9e-83fe-20c7cc47571d,Waffle Sandwich,4.92,469,0.52
itm-4fd9ddab-a342-4333-b553-58d9ce1347bb,HWHAP Original Hot Chicken Sandwich Meal,4.53,446,0.66
itm-deb4e484-6f9c-49f1-b2a1-dd03c4a35d0a,Loaded Fries,4.98,412,0.44
itm-f074970b-812c-4040-88a0-22287987a2ee,Coleslaw Platter,4.8,329,0.42
itm-32fb6ca4-677d-4d9d-8b8a-2db7cc128366,Frozen Strawberry Hibiscus Lemonade,4.39,340,0.75
itm-cb95ab63-de0f-4678-b735-6b512bf5978f,Chilled Strawberry Hibiscus Lemonade,4.36,447,0.77
itm-ae1e155f-c776-466b-888e-fe4ae35bf25b,HWHAP Cheesy Sandwich (a la carte),4.99,336,0.68
itm-c388754c-d758-44ff-b6f5-b46c8fed54a5,Lemonade Refill,4.82,357,0.56
itm-011ab9b2-df71-47ac-908b-4cd5429b1fb0,Original Sandwich Platter (10),4.97,202,0.7
itm-2e59bae7-bdb4-425b-8268-efe53e0ce3b4,Waffle Platter (10),4.31,228,0.33
itm-c8220ad8-b892-4228-bb67-8a5e20272cba,HWHAP Classic Sandwich (a la carte),4.58,290,0.58
itm-a059f585-7f19-4c6e-82b3-900f31a16d16,Pickles (side),4.28,364,0.73
itm-952a15b0-f10a-45d8-be69-d4c7e19ced35,Chips Platter,4.43,490,0.38
itm-0eaaefba-cdab-48fc-bfd7-0ef5de4bd194,Buns (a la carte),4.56,362,0.37
itm-615687fb-91f8-4cbf-800b-7c01716625fb,10 Tender Tray,4.55,213,0.71
itm-eae0d4e2-7dbc-4695-959a-0b753e7335ef,Blue Moon 16oz Cans,4.91,113,0.51
itm-6526863e-43a5-4d8c-95e5-a7a34dc617d7,Tenders and Waffle,4.52,291,0.42
itm-be2761cc-95d4-4fdd-9222-be53b25c28fa,HWHAP 15 pc Nuggets (a la carte),5,291,0.41
